neighbourhood_group,neighbourhood
Ambars-et-Lagrave,Ambars-et-Lagrave
Ambs,Ambs
Artigues-Prs-Bordeaux,Artigues-Prs-Bordeaux
Bassens,Bassens
Bgles,Bgles
Blanquefort,Blanquefort
Bordeaux,Bordeaux Maritime
Bordeaux,Bordeaux Sud
Bordeaux,Caudran
Bordeaux,Centre ville (Bordeaux)
Bordeaux,Chartrons - Grand Parc - Jardin Public
Bordeaux,La Bastide
Bordeaux,Nansouty - Saint Gens
Bordeaux,Saint Augustin - Tauzin - Alphonse Dupeux
Bouliac,Bouliac
Bruges,Bruges
Carbon-Blanc,Carbon-Blanc
Cenon,Gambetta-Mairie-Lissandre
Cenon,Palmer-Gravires-Cavailles
Cenon,Plaisance-Loret-Maregue
Eysines,Eysines
Floirac,Floirac
Gradignan,Gradignan
Le Bouscat,Le Bouscat
Le Haillan,Le Haillan
Le Taillan-Mdoc,Le Taillan-Mdoc
Lormont,Lormont
Martignas-sur-Jalle,Martignas-sur-Jalle
Merignac,Arlac
Merignac,Beaudsert
Merignac,Beutre
Merignac,Bourran
Merignac,Capeyron
Merignac,Centre ville (Merignac)
Merignac,Chemin Long
Merignac,La Glacire
Merignac,Le Burck
Merignac,Les Eyquems
Parempuyre,Parempuyre
Pessac,3M-Bourgailh
Pessac,Arago-La Chataigneraie
Pessac,Brivazac-Candau
Pessac,Cap de Bos
Pessac,Casino
Pessac,Chiquet-Fontaudin
Pessac,France Alouette
Pessac,La Paillre-Compostelle
Pessac,Le Bourg
Pessac,Le Monteil
Pessac,Le Vallon-Les Echoppes
Pessac,Magonty
Pessac,Nos
Pessac,Saige
Pessac,Sardine
Pessac,Toctoucau
Pessac,Verthamon
Saint-Aubin-de-Mdoc,Saint-Aubin-de-Mdoc
Saint-Louis-de-Montferrand,Saint-Louis-de-Montferrand
Saint-Mdard-en-Jalles,Saint-Mdard-en-Jalles
Saint-Vincent-de-Paul,Saint-Vincent-de-Paul
Talence,Talence
Villenave-d'Ornon,Villenave-d'Ornon
